"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"02/04/2026","COOCH BEHAR BAZAAR (KELLOGG`S) ","48","2401","2401","","","","02/04/2026","02/04/2026","",""
"02/04/2026","COOCH BEHAR BAZAAR  (DASBIN PLASTIC)","","240","240","","","","02/04/2026","02/04/2026","",""
"02/04/2026","COOCH BEHAR BAZAAR (RICE)","","6880","","","6880","","02/04/2026","02/04/2026","",""
"04/03/2026","SHILPI FOOD AND SPICES MEESHO TOYS ","","9132","","","9132","","04/03/2026","27/03/2026","",""
"02/04/2026","SOYETA TRADING CO","GTE97330","815","815","","","","02/04/2026","03/04/2026","",""
"03/04/2026","SUTRADHAR EXPORT & IMPORT","519","699","699","","","","03/04/2026","03/04/2026","",""
"04/04/2026","COOCH BEHAR BAZAAR (MURI, DIM)","","940","940","","","","04/04/2026","04/04/2026","",""
"04/04/2026","SUTRADHAR EXPORT & IMPORT","592","235","235","","","","04/04/2026","04/04/2026","",""
"03/04/2026","SANJAY SALES AGENCIES ","26-27/SSA-141","1492","1492","","","","03/04/2026","04/04/2026","",""
"03/04/2026","SANJAY SALES AGENCIES ","26-27/SSA-142","1053","1053","","","","03/04/2026","04/04/2026","",""
"06/04/2026","GOURI SHANKAR AGENCY ","FSL421784","4043","","","4043","","06/04/2026","11/04/2026","",""
"06/04/2026","JOYGURU ENTERPRISE","6/26","1295","1295","","","","06/04/2026","06/04/0206","",""
"07/04/2026","P G ENTERPRISE","","204","204","","","","07/04/2026","07/04/2026","",""
"07/04/2026","N. BISWAS & CHOWDHURY","38","3682","3682","","","","07/04/2026","07/04/2026","",""
"07/04/2026","SOYETA TRADING CO","GTE98811","901","901","","","","07/04/2026","07/04/2026","",""
"07/04/2026","SOYETA TRADING CO","GTE98803","978","978","","","","07/04/2026","07/04/2026","",""
"07/04/2026","COOCH BEHAR BAZAAR","50","1260","1260","","","","07/04/2026","07/04/2026","",""
"07/04/2026","AALEKHYA ASSOCIATES ","A260000287","3044","3044","","","","07/04/2026","13/04/2026","",""
"07/04/2026","GOURI SANKAR AGENCY  ","HAL/26-27/00085","2425","2425","","","","07/04/2026","11/04/2026","",""
"07/04/2026","AMRITA SALES AGENCY","SIT-62","2742","2742","","","","07/04/2026","07/04/2026","",""
"08/04/2026","P G ENTERPRISE","577","429","429","","","","08/04/2026","08/04/2026","",""
"08/04/2026","COOCH BEHAR BAZAAR( SUGAR FREE+EVEREDAY)","","905","905","","","","08/04/2026","08/04/2026","",""
"08/04/2026","COOCH BEHAR BAZAAR(PAPAR)","","1485","1485","","","","08/04/2026","08/04/2026","",""
"08/04/2026","COOCH BEHAR BAZZAR(SATU+SALONI+GARLIK JINJAR PAST)","","3640","3640","","","","08/04/2026","08/04/2026","",""
"08/04/2026","SANJAY SALES AGENCIES ","26-27/SSA-256","1975","1975","","","","08/04/2026","08/04/2026","",""
"08/04/2026","SUTRADHAR EXPORT&IMPORT","599","235","235","","","","08/04/2026","08/04/2026","",""
"08/04/2026","GOURI SANKAR ASSOCIATES","I/26-27/001710","1950","1950","","","","08/04/2026","13/04/2026","",""
"09/04/2026","APARNA ENTERPRISE ","R000229","700","700","","","","09/04/2026","19/05/2026","",""
"09/04/2026","NEW ICE BAR","I.B/26-27/544","2306","2306","","","","09/04/2026","09/04/2026","",""
"10/04/2026","SAHA  AGENCY","30272","5390","5390","","","","10/04/2026","10/04/2026","",""
"10/04/2026","BARNWAL AGENCY","","3353","3353","","","","10/04/2026","10/04/2026","",""
"10/04/0206","COOCH BEHAR BAZAAR (OIL)","","4320","4320","","","","10/04/0206","10/04/2026","",""
"10/04/2026","GOURI SANKAR ASSOCIATES","I/26-27/001997","3400","3400","","","","10/04/2026","14/04/2026","",""
"10/04/2026","PAL SALES AGENCY","P/2627/SI/98","4246","3046","","1200","","10/04/2026","11/04/2026","",""
"11/04/2026","P G ENTERPRISE","771","654","654","","","","11/04/2026","11/04/2026","",""
"11/04/2026","COOCH BEHAR  BAZAAR ( OIL+EGG+NAKULDANA+BISCUITS)","","3986","","","3986","","11/04/2026","11/04/2026","",""
"12/04/2026","P G ENTERPRISE","835","123","123","","","","12/04/2026","13/04/2026","AMUL DAILY MILK",""
"13/04/2026","P G ENTERPRISE","898","253","253","","","","13/04/2026","13/04/2026","AMUL DAILY MILK",""
"13/04/2026","AALEKHYA ASSOCIATES ","A260000633","5435","5435","","","","13/04/2026","20/04/2026","",""
"13/04/2026","GOURI SHANKAR AGENCY","FSL422575","3977","3977","","","","13/04/2026","18/04/2026","",""
"13/04/2026","SOYETA TRADING CO ","","1200","1200","","","","13/04/2026","13/04/2026","",""
"14/04/2026","P G ENTERPRISE","930","547","547","","","","14/04/2026","14/04/2026","",""
"14/04/26","SOYETA TRADING CO ","GTF01297","485","485","","","","14/04/26","14/04/2026","",""
"15/04/2026","GOURI SANKAR ASSOCIATES","I/26-27/003383","959","959","","","","15/04/2026","18/04/2026","",""
"15/04/2026","GOURI SANKAR ASSOCIATES","I/26-27/003715","342","342","","","","15/04/2026","20/04/2026","",""
"15/04/2026","M/S GOPI CHAND AGENCY","UC2600189","793","793","","","","15/04/2026","17/04/2026","",""
"15/04/2026","NYKAA E - RETAIL LIMITED ( SUPER STORE )","NYK-345800648-8705518-1","2282","2282","","","","15/04/2026","15/04/2026","",""
"16/04/2026","P G ENTERPRISE","1098","893","893","","","","16/04/2026","17/04/2026","",""
"16/04/2026","APARNA ENTERPRISE ","R000393","387","387","","","","16/04/2026","27/04/2026","",""
"16/04/2026","PRAN","","1708","1708","","","","16/04/2026","16/04/2026","",""
"16/04/2026","COOCH BEHAR BAZZAR(JHARU)","","438","438","","","","16/04/2026","17/04/2026","",""
"17/04/2026","COOCH BEHAR BAZAAR( DIM)","","360","360","","","","17/04/2026","17/04/2026","",""
"18/04/2026","P G ENTERPRISE","1241","297","297","","","","18/04/2026","18/04/2026","",""
"18/04/2026","COOCH BEHAR BAZAAR(GILLET GUARD)","","1232","1232","","","","18/04/2026","18/04/2026","",""
"18/04/2026","SARADA FOOD MART","SCP/26-27/494","2549","2549","","","","18/04/2026","22/04/2026","",""
"18/04/2026","COOCH BEHAR BAZAAR ( GHEE, CHANA)","63","5468","5468","","","","18/04/2026","18/04/2026","",""
"18/04/2026","NABHO BAZAAR ","","3005","","","3005","","18/04/2026","18/04/2026","",""
"19/04/2026","P G ENTERPRISE","1320","92","92","","","","19/04/2026","19/04/2026","",""
"20/04/2026","P G ENTERPRISE","1353","86","86","","","","20/04/2026","20/04/2026","",""
"20/04/2026","N BISWAS&CHOWDHURY","164","3214","3214","","","","20/04/2026","22/04/2026","",""
"20/04/2026","COOCH BEHAR BAZAAR (RICE)","","18150","","","18150","","20/04/2026","20/04/2026","",""
"20/04/2026","GOURI SANKAR AGENCY  ","FSL423378","748","","","748","","20/04/2026","25/04/2026","",""
"21/04/2026","SOYETA TRADING CO","GTE05975","560","560","","","","21/04/2026","21/04/2026","",""
"21/04/2026","SOYETA TRADING CO","GTF05976","1001","1001","","","","21/04/2026","21/04/2026","",""
"21/04/2026","JOYGURU ENTERPRISE","27","602","602","","","","21/04/2026","21/04/2026","",""
"21/04/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","2060","","","2026","","21/04/2026","21/04/2026","",""
"21/04/2026","AALEKHYA ASSOCIATES ","A260000955","2026","2026","","","","21/04/2026","27/04/2026","",""
"21/04/2026","AMRITA SALES AGENCY","SIT-220","632","632","","","","21/04/2026","21/04/2026","",""
"22/04/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","4601","","","4601","","22/04/2026","22/04/2026","",""
"24/04/2026","P G ENTERPRISE","1540","656","656","","","","24/04/2026","24/04/2026","",""
"24/04/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","633","","","633","","24/04/2026","24/04/2026","",""
"24/04/2026","NEW ICE BAR","I.B/26-27/1454","2446","","","2446","","24/04/2026","24/04/2026","",""
"24/04/2026","ANIL TRADERS ","AT/0130/26-27","337","337","","","","24/04/2026","24/04/2026","",""
"24/04/2026","COOCH BEHAR BAZAAR(MURI,DIM,AMUL,MISRI)","","4619","4619","","","","24/04/2026","24/04/2026","",""
"24/04/2026","COOCH BEHAR BAZAAR(SATTO)","","1400","1400","","","","24/04/2026","24/04/2026","",""
"25/04/2026","SOYETA TRADING CO ","28","4549","4549","","","","25/04/2026","25/04/2026","",""
